episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
1,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
2,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
3,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
4,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
5,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
6,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
7,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
8,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
9,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
10,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
11,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
12,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
13,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
14,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
15,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
16,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
17,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
18,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
19,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
20,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
21,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
22,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
23,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
24,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
25,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
26,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
27,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
28,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
29,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
30,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
31,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
32,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
33,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
34,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
35,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
36,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
37,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
38,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
39,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
40,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
41,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
42,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
43,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
44,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
45,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
46,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
47,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
48,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
49,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
50,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
51,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
52,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
53,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
54,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
55,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
56,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
57,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
58,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
59,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
60,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
61,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
62,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
63,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
64,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
65,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
66,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
67,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
68,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
69,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
70,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
71,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
72,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
73,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
74,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
75,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
76,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
77,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
78,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
79,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
80,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
81,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
82,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
83,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
84,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
85,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
86,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
87,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
88,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
89,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
90,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
91,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
92,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
93,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
94,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
95,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
96,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
97,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
98,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
99,361.79999999999984,180.0,159.0,22.799999999999983,181.79999999999998,9.0
