episode,total_return,sparse_return,shaped_return,deliveries
0,55.0,20.0,35.0,1.0
1,55.0,20.0,35.0,1.0
2,55.0,20.0,35.0,1.0
3,55.0,20.0,35.0,1.0
4,55.0,20.0,35.0,1.0
5,55.0,20.0,35.0,1.0
6,55.0,20.0,35.0,1.0
7,55.0,20.0,35.0,1.0
8,55.0,20.0,35.0,1.0
9,55.0,20.0,35.0,1.0
10,55.0,20.0,35.0,1.0
11,55.0,20.0,35.0,1.0
12,55.0,20.0,35.0,1.0
13,55.0,20.0,35.0,1.0
14,55.0,20.0,35.0,1.0
15,55.0,20.0,35.0,1.0
16,55.0,20.0,35.0,1.0
17,55.0,20.0,35.0,1.0
18,55.0,20.0,35.0,1.0
19,55.0,20.0,35.0,1.0
20,55.0,20.0,35.0,1.0
21,55.0,20.0,35.0,1.0
22,55.0,20.0,35.0,1.0
23,55.0,20.0,35.0,1.0
24,55.0,20.0,35.0,1.0
25,55.0,20.0,35.0,1.0
26,55.0,20.0,35.0,1.0
27,55.0,20.0,35.0,1.0
28,55.0,20.0,35.0,1.0
29,55.0,20.0,35.0,1.0
30,55.0,20.0,35.0,1.0
31,55.0,20.0,35.0,1.0
32,55.0,20.0,35.0,1.0
33,55.0,20.0,35.0,1.0
34,55.0,20.0,35.0,1.0
35,55.0,20.0,35.0,1.0
36,55.0,20.0,35.0,1.0
37,55.0,20.0,35.0,1.0
38,55.0,20.0,35.0,1.0
39,55.0,20.0,35.0,1.0
40,55.0,20.0,35.0,1.0
41,55.0,20.0,35.0,1.0
42,55.0,20.0,35.0,1.0
43,55.0,20.0,35.0,1.0
44,55.0,20.0,35.0,1.0
45,55.0,20.0,35.0,1.0
46,55.0,20.0,35.0,1.0
47,55.0,20.0,35.0,1.0
48,55.0,20.0,35.0,1.0
49,55.0,20.0,35.0,1.0
50,55.0,20.0,35.0,1.0
51,55.0,20.0,35.0,1.0
52,55.0,20.0,35.0,1.0
53,55.0,20.0,35.0,1.0
54,55.0,20.0,35.0,1.0
55,55.0,20.0,35.0,1.0
56,55.0,20.0,35.0,1.0
57,55.0,20.0,35.0,1.0
58,55.0,20.0,35.0,1.0
59,55.0,20.0,35.0,1.0
60,55.0,20.0,35.0,1.0
61,55.0,20.0,35.0,1.0
62,55.0,20.0,35.0,1.0
63,55.0,20.0,35.0,1.0
64,55.0,20.0,35.0,1.0
65,55.0,20.0,35.0,1.0
66,55.0,20.0,35.0,1.0
67,55.0,20.0,35.0,1.0
68,55.0,20.0,35.0,1.0
69,55.0,20.0,35.0,1.0
70,55.0,20.0,35.0,1.0
71,55.0,20.0,35.0,1.0
72,55.0,20.0,35.0,1.0
73,55.0,20.0,35.0,1.0
74,55.0,20.0,35.0,1.0
75,55.0,20.0,35.0,1.0
76,55.0,20.0,35.0,1.0
77,55.0,20.0,35.0,1.0
78,55.0,20.0,35.0,1.0
79,55.0,20.0,35.0,1.0
80,55.0,20.0,35.0,1.0
81,55.0,20.0,35.0,1.0
82,55.0,20.0,35.0,1.0
83,55.0,20.0,35.0,1.0
84,55.0,20.0,35.0,1.0
85,55.0,20.0,35.0,1.0
86,55.0,20.0,35.0,1.0
87,55.0,20.0,35.0,1.0
88,55.0,20.0,35.0,1.0
89,55.0,20.0,35.0,1.0
90,55.0,20.0,35.0,1.0
91,55.0,20.0,35.0,1.0
92,55.0,20.0,35.0,1.0
93,55.0,20.0,35.0,1.0
94,55.0,20.0,35.0,1.0
95,55.0,20.0,35.0,1.0
96,55.0,20.0,35.0,1.0
97,55.0,20.0,35.0,1.0
98,55.0,20.0,35.0,1.0
99,55.0,20.0,35.0,1.0
