episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,46.0,20.0,26.0,0.0,26.0,1.0
1,46.0,20.0,26.0,0.0,26.0,1.0
2,46.0,20.0,26.0,0.0,26.0,1.0
3,46.0,20.0,26.0,0.0,26.0,1.0
4,46.0,20.0,26.0,0.0,26.0,1.0
5,46.0,20.0,26.0,0.0,26.0,1.0
6,46.0,20.0,26.0,0.0,26.0,1.0
7,46.0,20.0,26.0,0.0,26.0,1.0
8,46.0,20.0,26.0,0.0,26.0,1.0
9,46.0,20.0,26.0,0.0,26.0,1.0
10,46.0,20.0,26.0,0.0,26.0,1.0
11,46.0,20.0,26.0,0.0,26.0,1.0
12,46.0,20.0,26.0,0.0,26.0,1.0
13,46.0,20.0,26.0,0.0,26.0,1.0
14,46.0,20.0,26.0,0.0,26.0,1.0
15,46.0,20.0,26.0,0.0,26.0,1.0
16,46.0,20.0,26.0,0.0,26.0,1.0
17,46.0,20.0,26.0,0.0,26.0,1.0
18,46.0,20.0,26.0,0.0,26.0,1.0
19,46.0,20.0,26.0,0.0,26.0,1.0
20,46.0,20.0,26.0,0.0,26.0,1.0
21,46.0,20.0,26.0,0.0,26.0,1.0
22,46.0,20.0,26.0,0.0,26.0,1.0
23,46.0,20.0,26.0,0.0,26.0,1.0
24,46.0,20.0,26.0,0.0,26.0,1.0
25,46.0,20.0,26.0,0.0,26.0,1.0
26,46.0,20.0,26.0,0.0,26.0,1.0
27,46.0,20.0,26.0,0.0,26.0,1.0
28,46.0,20.0,26.0,0.0,26.0,1.0
29,46.0,20.0,26.0,0.0,26.0,1.0
30,46.0,20.0,26.0,0.0,26.0,1.0
31,46.0,20.0,26.0,0.0,26.0,1.0
32,46.0,20.0,26.0,0.0,26.0,1.0
33,46.0,20.0,26.0,0.0,26.0,1.0
34,46.0,20.0,26.0,0.0,26.0,1.0
35,46.0,20.0,26.0,0.0,26.0,1.0
36,46.0,20.0,26.0,0.0,26.0,1.0
37,46.0,20.0,26.0,0.0,26.0,1.0
38,46.0,20.0,26.0,0.0,26.0,1.0
39,46.0,20.0,26.0,0.0,26.0,1.0
40,46.0,20.0,26.0,0.0,26.0,1.0
41,46.0,20.0,26.0,0.0,26.0,1.0
42,46.0,20.0,26.0,0.0,26.0,1.0
43,46.0,20.0,26.0,0.0,26.0,1.0
44,46.0,20.0,26.0,0.0,26.0,1.0
45,46.0,20.0,26.0,0.0,26.0,1.0
46,46.0,20.0,26.0,0.0,26.0,1.0
47,46.0,20.0,26.0,0.0,26.0,1.0
48,46.0,20.0,26.0,0.0,26.0,1.0
49,46.0,20.0,26.0,0.0,26.0,1.0
50,46.0,20.0,26.0,0.0,26.0,1.0
51,46.0,20.0,26.0,0.0,26.0,1.0
52,46.0,20.0,26.0,0.0,26.0,1.0
53,46.0,20.0,26.0,0.0,26.0,1.0
54,46.0,20.0,26.0,0.0,26.0,1.0
55,46.0,20.0,26.0,0.0,26.0,1.0
56,46.0,20.0,26.0,0.0,26.0,1.0
57,46.0,20.0,26.0,0.0,26.0,1.0
58,46.0,20.0,26.0,0.0,26.0,1.0
59,46.0,20.0,26.0,0.0,26.0,1.0
60,46.0,20.0,26.0,0.0,26.0,1.0
61,46.0,20.0,26.0,0.0,26.0,1.0
62,46.0,20.0,26.0,0.0,26.0,1.0
63,46.0,20.0,26.0,0.0,26.0,1.0
64,46.0,20.0,26.0,0.0,26.0,1.0
65,46.0,20.0,26.0,0.0,26.0,1.0
66,46.0,20.0,26.0,0.0,26.0,1.0
67,46.0,20.0,26.0,0.0,26.0,1.0
68,46.0,20.0,26.0,0.0,26.0,1.0
69,46.0,20.0,26.0,0.0,26.0,1.0
70,46.0,20.0,26.0,0.0,26.0,1.0
71,46.0,20.0,26.0,0.0,26.0,1.0
72,46.0,20.0,26.0,0.0,26.0,1.0
73,46.0,20.0,26.0,0.0,26.0,1.0
74,46.0,20.0,26.0,0.0,26.0,1.0
75,46.0,20.0,26.0,0.0,26.0,1.0
76,46.0,20.0,26.0,0.0,26.0,1.0
77,46.0,20.0,26.0,0.0,26.0,1.0
78,46.0,20.0,26.0,0.0,26.0,1.0
79,46.0,20.0,26.0,0.0,26.0,1.0
80,46.0,20.0,26.0,0.0,26.0,1.0
81,46.0,20.0,26.0,0.0,26.0,1.0
82,46.0,20.0,26.0,0.0,26.0,1.0
83,46.0,20.0,26.0,0.0,26.0,1.0
84,46.0,20.0,26.0,0.0,26.0,1.0
85,46.0,20.0,26.0,0.0,26.0,1.0
86,46.0,20.0,26.0,0.0,26.0,1.0
87,46.0,20.0,26.0,0.0,26.0,1.0
88,46.0,20.0,26.0,0.0,26.0,1.0
89,46.0,20.0,26.0,0.0,26.0,1.0
90,46.0,20.0,26.0,0.0,26.0,1.0
91,46.0,20.0,26.0,0.0,26.0,1.0
92,46.0,20.0,26.0,0.0,26.0,1.0
93,46.0,20.0,26.0,0.0,26.0,1.0
94,46.0,20.0,26.0,0.0,26.0,1.0
95,46.0,20.0,26.0,0.0,26.0,1.0
96,46.0,20.0,26.0,0.0,26.0,1.0
97,46.0,20.0,26.0,0.0,26.0,1.0
98,46.0,20.0,26.0,0.0,26.0,1.0
99,46.0,20.0,26.0,0.0,26.0,1.0
