episode,total_return,sparse_return,shaped_return,deliveries
0,126.0,60.0,66.0,3.0
1,126.0,60.0,66.0,3.0
2,126.0,60.0,66.0,3.0
3,126.0,60.0,66.0,3.0
4,126.0,60.0,66.0,3.0
5,126.0,60.0,66.0,3.0
6,126.0,60.0,66.0,3.0
7,126.0,60.0,66.0,3.0
8,126.0,60.0,66.0,3.0
9,126.0,60.0,66.0,3.0
10,126.0,60.0,66.0,3.0
11,126.0,60.0,66.0,3.0
12,126.0,60.0,66.0,3.0
13,126.0,60.0,66.0,3.0
14,126.0,60.0,66.0,3.0
15,126.0,60.0,66.0,3.0
16,126.0,60.0,66.0,3.0
17,126.0,60.0,66.0,3.0
18,126.0,60.0,66.0,3.0
19,126.0,60.0,66.0,3.0
20,126.0,60.0,66.0,3.0
21,126.0,60.0,66.0,3.0
22,126.0,60.0,66.0,3.0
23,126.0,60.0,66.0,3.0
24,126.0,60.0,66.0,3.0
25,126.0,60.0,66.0,3.0
26,126.0,60.0,66.0,3.0
27,126.0,60.0,66.0,3.0
28,126.0,60.0,66.0,3.0
29,126.0,60.0,66.0,3.0
30,126.0,60.0,66.0,3.0
31,126.0,60.0,66.0,3.0
32,126.0,60.0,66.0,3.0
33,126.0,60.0,66.0,3.0
34,126.0,60.0,66.0,3.0
35,126.0,60.0,66.0,3.0
36,126.0,60.0,66.0,3.0
37,126.0,60.0,66.0,3.0
38,126.0,60.0,66.0,3.0
39,126.0,60.0,66.0,3.0
40,126.0,60.0,66.0,3.0
41,126.0,60.0,66.0,3.0
42,126.0,60.0,66.0,3.0
43,126.0,60.0,66.0,3.0
44,126.0,60.0,66.0,3.0
45,126.0,60.0,66.0,3.0
46,126.0,60.0,66.0,3.0
47,126.0,60.0,66.0,3.0
48,126.0,60.0,66.0,3.0
49,126.0,60.0,66.0,3.0
50,126.0,60.0,66.0,3.0
51,126.0,60.0,66.0,3.0
52,126.0,60.0,66.0,3.0
53,126.0,60.0,66.0,3.0
54,126.0,60.0,66.0,3.0
55,126.0,60.0,66.0,3.0
56,126.0,60.0,66.0,3.0
57,126.0,60.0,66.0,3.0
58,126.0,60.0,66.0,3.0
59,126.0,60.0,66.0,3.0
60,126.0,60.0,66.0,3.0
61,126.0,60.0,66.0,3.0
62,126.0,60.0,66.0,3.0
63,126.0,60.0,66.0,3.0
64,126.0,60.0,66.0,3.0
65,126.0,60.0,66.0,3.0
66,126.0,60.0,66.0,3.0
67,126.0,60.0,66.0,3.0
68,126.0,60.0,66.0,3.0
69,126.0,60.0,66.0,3.0
70,126.0,60.0,66.0,3.0
71,126.0,60.0,66.0,3.0
72,126.0,60.0,66.0,3.0
73,126.0,60.0,66.0,3.0
74,126.0,60.0,66.0,3.0
75,126.0,60.0,66.0,3.0
76,126.0,60.0,66.0,3.0
77,126.0,60.0,66.0,3.0
78,126.0,60.0,66.0,3.0
79,126.0,60.0,66.0,3.0
80,126.0,60.0,66.0,3.0
81,126.0,60.0,66.0,3.0
82,126.0,60.0,66.0,3.0
83,126.0,60.0,66.0,3.0
84,126.0,60.0,66.0,3.0
85,126.0,60.0,66.0,3.0
86,126.0,60.0,66.0,3.0
87,126.0,60.0,66.0,3.0
88,126.0,60.0,66.0,3.0
89,126.0,60.0,66.0,3.0
90,126.0,60.0,66.0,3.0
91,126.0,60.0,66.0,3.0
92,126.0,60.0,66.0,3.0
93,126.0,60.0,66.0,3.0
94,126.0,60.0,66.0,3.0
95,126.0,60.0,66.0,3.0
96,126.0,60.0,66.0,3.0
97,126.0,60.0,66.0,3.0
98,126.0,60.0,66.0,3.0
99,126.0,60.0,66.0,3.0
