episode,total_return,sparse_return,shaped_return,deliveries
0,122.0,60.0,62.0,3.0
1,122.0,60.0,62.0,3.0
2,122.0,60.0,62.0,3.0
3,122.0,60.0,62.0,3.0
4,122.0,60.0,62.0,3.0
5,122.0,60.0,62.0,3.0
6,122.0,60.0,62.0,3.0
7,122.0,60.0,62.0,3.0
8,122.0,60.0,62.0,3.0
9,122.0,60.0,62.0,3.0
10,122.0,60.0,62.0,3.0
11,122.0,60.0,62.0,3.0
12,122.0,60.0,62.0,3.0
13,122.0,60.0,62.0,3.0
14,122.0,60.0,62.0,3.0
15,122.0,60.0,62.0,3.0
16,122.0,60.0,62.0,3.0
17,122.0,60.0,62.0,3.0
18,122.0,60.0,62.0,3.0
19,122.0,60.0,62.0,3.0
20,122.0,60.0,62.0,3.0
21,122.0,60.0,62.0,3.0
22,122.0,60.0,62.0,3.0
23,122.0,60.0,62.0,3.0
24,122.0,60.0,62.0,3.0
25,122.0,60.0,62.0,3.0
26,122.0,60.0,62.0,3.0
27,122.0,60.0,62.0,3.0
28,122.0,60.0,62.0,3.0
29,122.0,60.0,62.0,3.0
30,122.0,60.0,62.0,3.0
31,122.0,60.0,62.0,3.0
32,122.0,60.0,62.0,3.0
33,122.0,60.0,62.0,3.0
34,122.0,60.0,62.0,3.0
35,122.0,60.0,62.0,3.0
36,122.0,60.0,62.0,3.0
37,122.0,60.0,62.0,3.0
38,122.0,60.0,62.0,3.0
39,122.0,60.0,62.0,3.0
40,122.0,60.0,62.0,3.0
41,122.0,60.0,62.0,3.0
42,122.0,60.0,62.0,3.0
43,122.0,60.0,62.0,3.0
44,122.0,60.0,62.0,3.0
45,122.0,60.0,62.0,3.0
46,122.0,60.0,62.0,3.0
47,122.0,60.0,62.0,3.0
48,122.0,60.0,62.0,3.0
49,122.0,60.0,62.0,3.0
50,122.0,60.0,62.0,3.0
51,122.0,60.0,62.0,3.0
52,122.0,60.0,62.0,3.0
53,122.0,60.0,62.0,3.0
54,122.0,60.0,62.0,3.0
55,122.0,60.0,62.0,3.0
56,122.0,60.0,62.0,3.0
57,122.0,60.0,62.0,3.0
58,122.0,60.0,62.0,3.0
59,122.0,60.0,62.0,3.0
60,122.0,60.0,62.0,3.0
61,122.0,60.0,62.0,3.0
62,122.0,60.0,62.0,3.0
63,122.0,60.0,62.0,3.0
64,122.0,60.0,62.0,3.0
65,122.0,60.0,62.0,3.0
66,122.0,60.0,62.0,3.0
67,122.0,60.0,62.0,3.0
68,122.0,60.0,62.0,3.0
69,122.0,60.0,62.0,3.0
70,122.0,60.0,62.0,3.0
71,122.0,60.0,62.0,3.0
72,122.0,60.0,62.0,3.0
73,122.0,60.0,62.0,3.0
74,122.0,60.0,62.0,3.0
75,122.0,60.0,62.0,3.0
76,122.0,60.0,62.0,3.0
77,122.0,60.0,62.0,3.0
78,122.0,60.0,62.0,3.0
79,122.0,60.0,62.0,3.0
80,122.0,60.0,62.0,3.0
81,122.0,60.0,62.0,3.0
82,122.0,60.0,62.0,3.0
83,122.0,60.0,62.0,3.0
84,122.0,60.0,62.0,3.0
85,122.0,60.0,62.0,3.0
86,122.0,60.0,62.0,3.0
87,122.0,60.0,62.0,3.0
88,122.0,60.0,62.0,3.0
89,122.0,60.0,62.0,3.0
90,122.0,60.0,62.0,3.0
91,122.0,60.0,62.0,3.0
92,122.0,60.0,62.0,3.0
93,122.0,60.0,62.0,3.0
94,122.0,60.0,62.0,3.0
95,122.0,60.0,62.0,3.0
96,122.0,60.0,62.0,3.0
97,122.0,60.0,62.0,3.0
98,122.0,60.0,62.0,3.0
99,122.0,60.0,62.0,3.0
