layout,baseline_sparse_mean,custom_sparse_mean,baseline_deliveries_mean,custom_deliveries_mean,collapses,delta_sparse_mean,delta_deliveries_mean
random0,160.0,213.33333333333334,8.0,10.666666666666666,1,53.33333333333334,2.666666666666666
random1,140.0,126.66666666666667,7.0,6.333333333333333,1,-13.333333333333329,-0.666666666666667
random3,0.0,0.0,0.0,0.0,0,0.0,0.0
simple,153.33333333333334,220.0,7.666666666666667,11.0,0,66.66666666666666,3.333333333333333
unident_s,86.66666666666667,240.0,4.333333333333333,12.0,1,153.33333333333331,7.666666666666667
