episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
1,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
2,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
3,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
4,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
5,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
6,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
7,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
8,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
9,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
10,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
11,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
12,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
13,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
14,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
15,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
16,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
17,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
18,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
19,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
20,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
21,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
22,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
23,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
24,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
25,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
26,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
27,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
28,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
29,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
30,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
31,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
32,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
33,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
34,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
35,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
36,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
37,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
38,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
39,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
40,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
41,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
42,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
43,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
44,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
45,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
46,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
47,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
48,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
49,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
50,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
51,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
52,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
53,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
54,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
55,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
56,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
57,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
58,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
59,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
60,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
61,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
62,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
63,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
64,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
65,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
66,403.9999999999997,200.0,182.0,21.999999999999986,204.0,10.0
