episode,total_return,sparse_return,built_in_shaped_return,custom_shaped_return,shaped_return,deliveries
0,45.8,0.0,43.0,2.8,45.8,0.0
1,45.8,0.0,43.0,2.8,45.8,0.0
2,45.8,0.0,43.0,2.8,45.8,0.0
3,45.8,0.0,43.0,2.8,45.8,0.0
4,45.8,0.0,43.0,2.8,45.8,0.0
5,45.8,0.0,43.0,2.8,45.8,0.0
6,45.8,0.0,43.0,2.8,45.8,0.0
7,45.8,0.0,43.0,2.8,45.8,0.0
8,45.8,0.0,43.0,2.8,45.8,0.0
9,45.8,0.0,43.0,2.8,45.8,0.0
10,45.8,0.0,43.0,2.8,45.8,0.0
11,45.8,0.0,43.0,2.8,45.8,0.0
12,45.8,0.0,43.0,2.8,45.8,0.0
13,45.8,0.0,43.0,2.8,45.8,0.0
14,45.8,0.0,43.0,2.8,45.8,0.0
15,45.8,0.0,43.0,2.8,45.8,0.0
16,45.8,0.0,43.0,2.8,45.8,0.0
17,45.8,0.0,43.0,2.8,45.8,0.0
18,45.8,0.0,43.0,2.8,45.8,0.0
19,45.8,0.0,43.0,2.8,45.8,0.0
20,45.8,0.0,43.0,2.8,45.8,0.0
21,45.8,0.0,43.0,2.8,45.8,0.0
22,45.8,0.0,43.0,2.8,45.8,0.0
23,45.8,0.0,43.0,2.8,45.8,0.0
24,45.8,0.0,43.0,2.8,45.8,0.0
25,45.8,0.0,43.0,2.8,45.8,0.0
26,45.8,0.0,43.0,2.8,45.8,0.0
27,45.8,0.0,43.0,2.8,45.8,0.0
28,45.8,0.0,43.0,2.8,45.8,0.0
29,45.8,0.0,43.0,2.8,45.8,0.0
30,45.8,0.0,43.0,2.8,45.8,0.0
31,45.8,0.0,43.0,2.8,45.8,0.0
32,45.8,0.0,43.0,2.8,45.8,0.0
33,45.8,0.0,43.0,2.8,45.8,0.0
34,45.8,0.0,43.0,2.8,45.8,0.0
35,45.8,0.0,43.0,2.8,45.8,0.0
36,45.8,0.0,43.0,2.8,45.8,0.0
37,45.8,0.0,43.0,2.8,45.8,0.0
38,45.8,0.0,43.0,2.8,45.8,0.0
39,45.8,0.0,43.0,2.8,45.8,0.0
40,45.8,0.0,43.0,2.8,45.8,0.0
41,45.8,0.0,43.0,2.8,45.8,0.0
42,45.8,0.0,43.0,2.8,45.8,0.0
43,45.8,0.0,43.0,2.8,45.8,0.0
44,45.8,0.0,43.0,2.8,45.8,0.0
45,45.8,0.0,43.0,2.8,45.8,0.0
46,45.8,0.0,43.0,2.8,45.8,0.0
47,45.8,0.0,43.0,2.8,45.8,0.0
48,45.8,0.0,43.0,2.8,45.8,0.0
49,45.8,0.0,43.0,2.8,45.8,0.0
50,45.8,0.0,43.0,2.8,45.8,0.0
51,45.8,0.0,43.0,2.8,45.8,0.0
52,45.8,0.0,43.0,2.8,45.8,0.0
53,45.8,0.0,43.0,2.8,45.8,0.0
54,45.8,0.0,43.0,2.8,45.8,0.0
55,45.8,0.0,43.0,2.8,45.8,0.0
56,45.8,0.0,43.0,2.8,45.8,0.0
57,45.8,0.0,43.0,2.8,45.8,0.0
58,45.8,0.0,43.0,2.8,45.8,0.0
59,45.8,0.0,43.0,2.8,45.8,0.0
60,45.8,0.0,43.0,2.8,45.8,0.0
61,45.8,0.0,43.0,2.8,45.8,0.0
62,45.8,0.0,43.0,2.8,45.8,0.0
63,45.8,0.0,43.0,2.8,45.8,0.0
64,45.8,0.0,43.0,2.8,45.8,0.0
65,45.8,0.0,43.0,2.8,45.8,0.0
66,45.8,0.0,43.0,2.8,45.8,0.0
67,45.8,0.0,43.0,2.8,45.8,0.0
68,45.8,0.0,43.0,2.8,45.8,0.0
69,45.8,0.0,43.0,2.8,45.8,0.0
70,45.8,0.0,43.0,2.8,45.8,0.0
71,45.8,0.0,43.0,2.8,45.8,0.0
72,45.8,0.0,43.0,2.8,45.8,0.0
73,45.8,0.0,43.0,2.8,45.8,0.0
74,45.8,0.0,43.0,2.8,45.8,0.0
75,45.8,0.0,43.0,2.8,45.8,0.0
76,45.8,0.0,43.0,2.8,45.8,0.0
77,45.8,0.0,43.0,2.8,45.8,0.0
78,45.8,0.0,43.0,2.8,45.8,0.0
79,45.8,0.0,43.0,2.8,45.8,0.0
80,45.8,0.0,43.0,2.8,45.8,0.0
81,45.8,0.0,43.0,2.8,45.8,0.0
82,45.8,0.0,43.0,2.8,45.8,0.0
83,45.8,0.0,43.0,2.8,45.8,0.0
84,45.8,0.0,43.0,2.8,45.8,0.0
85,45.8,0.0,43.0,2.8,45.8,0.0
86,45.8,0.0,43.0,2.8,45.8,0.0
87,45.8,0.0,43.0,2.8,45.8,0.0
88,45.8,0.0,43.0,2.8,45.8,0.0
89,45.8,0.0,43.0,2.8,45.8,0.0
90,45.8,0.0,43.0,2.8,45.8,0.0
91,45.8,0.0,43.0,2.8,45.8,0.0
92,45.8,0.0,43.0,2.8,45.8,0.0
93,45.8,0.0,43.0,2.8,45.8,0.0
94,45.8,0.0,43.0,2.8,45.8,0.0
95,45.8,0.0,43.0,2.8,45.8,0.0
96,45.8,0.0,43.0,2.8,45.8,0.0
97,45.8,0.0,43.0,2.8,45.8,0.0
98,45.8,0.0,43.0,2.8,45.8,0.0
99,45.8,0.0,43.0,2.8,45.8,0.0
